,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
10630,17838.0,-5.1878781080000005,6.967708664,-13.51093114,8.617895141,-11.21442239,0.6722478390000001,-9.462532811,5.328704208,-4.897005528,-11.78681166,9.369079057999999,-15.09416315,1.256377007,-11.8521613,0.274429814,-10.68824179,-18.38881054,-6.898840132999999,2.382807936,-0.623737292,2.086083001,0.760190241,0.7168057859999999,-0.64674343,-1.6170429259999999,0.17234689,0.626646781,-0.16972603100000003,766.36,1
89607,62645.0,1.270454013,-0.985118851,0.788674726,-0.21383806100000002,-1.174333863,0.43625463700000006,-0.887420071,0.068400365,0.298297351,0.207389,-1.998136727,0.8294008209999999,1.225956318,-1.248028292,-2.037165229,-2.0746820319999997,0.5600590120000001,0.281984628,0.494972523,-0.335314919,-0.8760089759999999,-1.670667387,0.044891327,-0.399274315,0.22481198300000002,0.8581496390000001,-0.004974173,0.016976063,54.3,0
154670,102489.0,-2.296987499,4.064043342,-5.957706345,4.680008064,-2.0809376,-1.46327216,-4.490846868999999,1.029246283,-1.593249251,-8.993810884,7.8644674,-10.64983965,1.8265910159999998,-12.91363174,-0.766330315,-7.954097709,-7.8096350999999995,-1.718511172,3.832985142,1.264953797,1.089084184,0.97539781,-0.625530334,-0.535180928,0.24743502899999997,0.160399508,0.969581605,0.335041294,104.0,1
41578,40746.0,-1.76227987,1.723668201,0.9908926640000001,1.113680334,-1.017419384,-0.43340722200000004,-0.573238505,0.9188937509999999,-0.882548977,-0.5202162539999999,1.769408551,0.605654974,0.193724855,-0.67161326,1.5052523969999998,0.641033165,1.3570681,1.334353331,1.50299529,0.078829581,0.025963916,-0.160898096,-0.125436402,0.44471532700000005,-0.13501786,0.453188315,-0.271853452,0.017156625,32.03,0
153746,99967.0,1.9441773180000002,0.853115782,-0.9014275209999999,3.851681101,1.066470305,0.15221383800000002,0.42489194,-0.267362211,-0.024164694,1.04112936,-0.10081999800000001,-2.077934808,2.877786429,1.5445062840000001,-1.770894274,0.521707511,-0.015946436,-0.683375506,-1.567237032,-0.225136665,-0.285960996,-0.531445388,0.253188817,0.5211672829999999,0.00028272400000000004,-0.24234938600000003,-0.07241819299999999,-0.048248600999999995,12.67,0
242693,151603.0,-0.745432106,0.618898384,-0.319693361,-1.142408694,2.8506693660000004,3.836363987,0.562249749,0.8509278309999999,-0.587259404,-0.6774884879999999,-0.032677236,-0.060432031,-0.318962729,0.50347591,1.022678019,-0.88310517,0.026145687,-0.469482839,1.200495844,0.123436752,-0.2340346,-0.775896025,-0.234571642,0.684334439,0.56526986,-0.270601278,-0.055124545999999996,0.066148503,57.95,0
200587,133492.0,-0.17324455100000002,0.166974215,0.729430233,-0.7224426270000001,1.1191440529999999,1.472094213,0.273606901,0.274459845,0.959281185,-0.696535992,-0.782684376,0.137226072,-0.41385176,-0.42373596700000005,0.327716281,-1.280626211,0.35465938700000005,-1.232317334,-1.2623751490000001,-0.223236275,0.309263823,1.345011872,-0.14991222099999998,-0.398607861,-0.379970575,-0.155106228,-0.136523755,-0.141277331,6.17,0
149522,91407.0,-3.951208507,2.881805182,-6.421490295,2.434181424,-1.327324538,-2.122105987,-3.22753333,-0.6855604759999999,0.775985125,-4.723091746000001,4.921657447,-8.752770087,1.520197742,-8.552022732000001,0.351975958,-4.534029753,-6.465408634,-1.890309979,0.174840186,-0.669351429,1.410478565,0.279402821,0.570821171,0.656271015,-0.298600549,-0.40757135899999997,-1.37870253,1.379130292,52.69,1
259319,159061.0,1.761749726,-1.21999146,-1.3471056680000002,-0.5950218829999999,-0.7508465440000001,-0.43968930799999995,-0.6922530570000001,-0.08885572300000001,-0.354267331,0.129497962,1.299804337,0.40764553200000003,1.223134708,-2.091984042,-0.391691236,1.870688875,1.008553566,-0.032237043,0.47729978799999995,0.479844437,0.39667458200000005,0.8531529379999999,-0.113655685,-0.455591828,-0.18219503199999998,-0.10465680699999999,0.000766187,0.008316885,199.0,0
47173,43118.0,-0.48514967,0.951590458,1.589441879,-0.13673939699999998,0.033687788999999996,-0.605793386,0.562491539,0.086448413,-0.647493176,-0.136673831,1.294050478,0.632087506,-0.071713926,0.344414351,0.151457486,0.39474823299999995,-0.6423942979999999,0.146544615,0.304971366,0.114976189,-0.17387370000000002,-0.486802083,-0.029731873,0.309626542,-0.223324727,0.05401668900000001,0.260319081,0.111556675,0.99,0
